componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_total,cadastro_encontrado
G3006152,"CURVA AC ASTM A234 GR WPB 90 RL SCH40 3/4"" ANSI B 16.9 PS DIAM EXT 26,67MM ESP 2,87MM",PC,MP,MATERIA PRIMA,N,9.0,True
G3006212,"REBITE POP REPUXO ALUMINIO 4,8X30MM",PC,MP,MATERIA PRIMA,N,2.0,True
G3006610,MANGUEIRA NIVEL SILICONADA M10,MT,MP,MATERIA PRIMA,N,13.635,True
G3006749,"NIPLE REDUCAO 1"" X 1/2"" GALVANIZADO",PC,MP,MATERIA PRIMA,N,1.0,True
G3007835,"PO SX FL SERRILHADO M8 X 1,25 CL8 DIN6923 MACROCOLT",PC,MP,MATERIA PRIMA,N,11744.0,True
G3007837,"PO SX FL M12 X 1,75 CL8 TORQ DIN6927 ZF",PC,MP,MATERIA PRIMA,N,36.0,True
G3007840,"PF SX FL M10 X 1,50 X 35 CL 8.8 DIN 6921",PC,MP,MATERIA PRIMA,N,5925.0,True
G3008085,"PO SX FL M10 X 1,50 CL 8.8 DIN 6923 ZF",PC,MP,MATERIA PRIMA,N,16.0,True
G3008736,FILTRO DE RETORNO CASAPPA HF 547 20 280 CONF DES,PC,MP,MATERIA PRIMA,N,1.0,True
G3008964,"PF ALLEN SEM CAB M10 X 1,50 X 16 CL12.9 DIN916 RI GEOMET A",PC,MP,MATERIA PRIMA,N,1.0,True
G3009026,SINALIZADOR ACUSTICO UNIVERSAL DNI 0516,PC,MP,MATERIA PRIMA,N,1.0,True
G3010009,PINO ELASTICO DIN 1481 5 X 20 CONF DES,PC,MP,MATERIA PRIMA,N,70.0,True
G3010140,BOTAO ACIONAMENTO TOMADA DE FORÇA COM LED E SAIDA PARA SIRENE,PC,MP,MATERIA PRIMA,N,1.0,True
G3010420,"PO SX AUT TRAV M20 X 2,50 CL8 DIN985 ZF",PC,MP,MATERIA PRIMA,N,132.0,True
G3011461,"BUJAO FG NBR 6590 3/4"" BSP NBR 6943 150LBS",PC,MC,MATERIAL DE USO E CONSUMO,N,3.0,True
G3013059,"PF MAQ CAB PANELA PHILLIPS M4 X 0,7 X 16 CL5.8 DIN7985 BICROMATIZADO",PC,MP,MATERIA PRIMA,N,300.0,True
G3016892,"NIPLE DUPLO FG NBR 6590 1/4"" BSP NBR 6943 150LBS",PC,MC,MATERIAL DE USO E CONSUMO,N,1.0,True
G3016900,"COTOVELO 90 FG NBR 6590 F X F 1"" BSP NBR 6943 150LBS",PC,MP,MATERIA PRIMA,N,1.0,True
