componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G1013109,"PO SX M4 X 0,70 CL6 DIN934 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,200.0,10.0,2000.0,True,200.0,False,True,False,True
G1013235,"ADAP TEE 90 FG NBR 6590 1/4"" BSP NBR 6943 150LBS",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1013898,BOMBA CPL 016 HD-16/25 V-15,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1014176,ADAPTADOR AGR1/2POL AGN3/8POL - GEHB08HN06,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1014845,"PO SX FL TORQUE M16 X 2,00 CL10 DIN 6927 ZFE",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,32.0,10.0,320.0,True,32.0,False,True,False,True
G1015172,"TOMADA DE FORCA CX AT2612D TRAS FLANGE SAE B 13Z 1:0,9 ANTI.HOR T9160.00",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1015398,PLAQUETA ALUMINIO 100 X 40 SERIE VASO DE PRESSAO CONF DES,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,9.0,10.0,90.0,True,9.0,False,True,False,True
G1016221,"PF SX FL M20 X 2,50 X 80 CL10.9 DIN6921 RP",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,100.0,10.0,1000.0,True,100.0,False,True,False,True
G1017483,"BOMBA DE ENGRANAGEM 1"" ED 1 X 42 VEDACAO POR GAXETA",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1017788,ACOPLAMENTO FLEXIVEL AC 28,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1018184,"ACOPLADOR ALUMINIO FEMEA 1"" X ROSCA INT BSP 1"" 11 FIOS",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,11.0,10.0,110.0,True,11.0,False,True,False,True
G1018185,"ADAPTADOR ALUMINIO MACHO 1"" X ESPIGAO 1""",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1018205,ADAPTADOR TAMPAO DE ALUMINIO 1'',PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,11.0,10.0,110.0,True,11.0,False,True,False,True
G1019036,DH GERADOR DE VACUO MGV 20,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1019910,"BOMBA 1,5 X 1 1C C/ MANCAL ROTOR 159MM SCHNEIDER BC 92S 1C 3CV MANCAL RT 159MM",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1020286,"CALCO P/ CAMINHAO C/ CORDA 15,5 CM X 23 CM LARG 20 TON NBR 9735",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,8.0,10.0,80.0,True,8.0,False,True,False,True
G1021152,"VALVULA DE ALIVIO DISCO METALICO 1"" BSP 3,5 BAR",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1021155,TAMPA DE INSPECAO ALUM 450MM MECANICA PREP P/ BOTTOM C/ VENTILACAO 90 VITON MGN COD 201429,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1022048,"ADAPTADOR RETO MF 1/2"" BSP X 7/8"" JIC",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,7.0,10.0,70.0,True,7.0,False,True,False,True
G1022563,POLIA A160 1 CANAL FERRO FUNDIDO,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1022571,"CURVA AC ASTM A234 GR WPB 90 RL SCH40 1"" ANSI B 16.9 PS DIAM EXT 33,40MM ESP 3,38MM",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,10.0,10.0,100.0,True,10.0,False,True,False,True
G1022588,NIPLE DUPLO FG NBR 6590 1'' NPT NBR 6925 300LBS,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1024104,"ANEL ORING 29,82 X 2,62MM NBR 70SH REF 2 123 PARKER",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1024105,"ANEL ORING 15,54 X 2,62MM NBR 70SH REF 2 114 PARKER",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1024106,"ANEL ORING 18,72 X 2,62MM NBR 70SH REF 2 116 PARKER",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3000214,"PF SX M8 X 1,25 X 25 CL 8.8 DIN 933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3000221,"PO SX M12 X 1,75 CL 10 INS NY AUTO TRAV DIN985",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,41.0,10.0,410.0,True,41.0,False,True,False,True
G3000229,FAIXA REFLETIVA LATERAL 300MM DIREITA,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,25.0,10.0,250.0,True,25.0,False,True,False,True
G3000230,FAIXA REFLETIVA LATERAL 300MM ESQUERDA,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,25.0,10.0,250.0,True,25.0,False,True,False,True
G3000231,"ADESIVO REFLETIVO 0,10 X 2,40M PARA-CHOQUE CONF DES",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G3000303,"PF SX M8 X 1,25 X 30 CL 5.8 DIN 933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,16.0,10.0,160.0,True,16.0,False,True,False,True
G3000308,"PO SX M6 X 1,00 CL8 DIN934 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3000309,"PO SX M8 X 1,25 CL 8 DIN 934 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,16.0,10.0,160.0,True,16.0,False,True,False,True
G3000312,"PO SX M14X2,00 CL8 DIN934 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,44.0,10.0,440.0,True,44.0,False,True,False,True
G3000314,ARRUELA LISA M4 ABA LARGA ZINCADO,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,200.0,10.0,2000.0,True,200.0,False,True,False,True
G3000325,"PO REBITE SX M6 X 1,00 TUBULAR ROSCA INT ZINCADO",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,14.0,10.0,140.0,True,14.0,False,True,False,True
G3000328,"REBITE REPUXO ALUMINIO 4,8 X 12MM",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,284.0,10.0,2840.0,True,284.0,False,True,False,True
G3000951,ARRUELA LISA M10 ZB,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,6038.0,10.0,60380.0,True,6038.0,False,True,False,True
G3001009,"PF SX M10 X 1,50 X 40 CL 8.8 DIN 933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,20.0,10.0,200.0,True,20.0,False,True,False,True
